Gene	Class	Counts	Freq
KRAS	Hydrolysis	156	0.690265486725664
KRAS	Exchange	38	0.168141592920354
KRAS	Hybrid	15	0.0663716814159292
KRAS	Unclassified	17	0.0752212389380531
BRAF	Class 1	101	0.543010752688172
BRAF	Class 2	13	0.0698924731182796
BRAF	Class 3	3	0.0161290322580645
BRAF	Unclassified	69	0.370967741935484
EGFR	Classical_like	12	0.0991735537190083
EGFR	Ex20ins_L	0	0
EGFR	PACC	2	0.0165289256198347
EGFR	T790M_like_3R	0	0
EGFR	T790M_like_3S	2	0.0165289256198347
EGFR	Unclassified	105	0.867768595041322
