GeneA	ClassA	GeneB	CountsA	CountsB	AandB	notAandB	AandnotB	notAandnotB	fisherTwoSided	significantTwoSided	oddsRatio	standardError
BRAF	Class 1	KRAS	101	22	0	22	101	63	6.09143459220709e-09	TRUE	0.0139025725232622	1.43876498869318
BRAF	Class 2	KRAS	13	22	3	19	10	154	0.186890781028983	FALSE	2.64102564102564	0.662349548308004
BRAF	Class 3	KRAS	3	22	0	22	3	161	1	FALSE	1.02539682539683	1.52851257130032
EGFR	Classical_like	KRAS	12	27	0	27	12	82	0.0661970920079709	FALSE	0.12	1.45893277723302
EGFR	Ex20ins_L	KRAS	0	27	0	27	0	94	1	FALSE	3.43636363636364	2.01170217650269
EGFR	PACC	KRAS	2	27	0	27	2	92	1	FALSE	0.672727272727273	1.56434473412175
EGFR	T790M_like_3R	KRAS	0	27	0	27	0	94	1	FALSE	3.43636363636364	2.01170217650269
EGFR	T790M_like_3S	KRAS	2	27	0	27	2	92	1	FALSE	0.672727272727273	1.56434473412175
KRAS	Hydrolysis	BRAF	156	22	19	3	137	64	0.0894959537773963	FALSE	2.61350649350649	0.599810753686574
KRAS	Exchange	BRAF	38	22	1	21	37	164	0.136490264320852	FALSE	0.306046511627907	0.863668911444619
KRAS	Hybrid	BRAF	15	22	0	22	15	186	0.372712842415737	FALSE	0.267383512544803	1.45407101056709
EGFR	Classical_like	BRAF	12	24	0	24	12	85	0.121068765918852	FALSE	0.139591836734694	1.4603123751319
EGFR	Ex20ins_L	BRAF	0	24	0	24	0	97	1	FALSE	3.97959183673469	2.01272768570093
EGFR	PACC	BRAF	2	24	0	24	2	95	1	FALSE	0.779591836734694	1.5656588168305
EGFR	T790M_like_3R	BRAF	0	24	0	24	0	97	1	FALSE	3.97959183673469	2.01272768570093
EGFR	T790M_like_3S	BRAF	2	24	0	24	2	95	1	FALSE	0.779591836734694	1.5656588168305
KRAS	Hydrolysis	EGFR	156	27	15	12	141	55	0.115080966277575	FALSE	0.486360424028269	0.411826765593815
KRAS	Exchange	EGFR	38	27	5	22	33	163	0.788089545784939	FALSE	1.19303482587065	0.512083567869887
KRAS	Hybrid	EGFR	15	27	2	25	13	183	0.700011112186013	FALSE	1.33260711692084	0.720235622299562
BRAF	Class 1	EGFR	101	24	9	15	92	70	0.083773337274767	FALSE	0.467131647776809	0.44133263520946
BRAF	Class 2	EGFR	13	24	1	23	12	150	1	FALSE	0.768510638297872	0.892112311555251
BRAF	Class 3	EGFR	3	24	0	24	3	159	1	FALSE	0.93002915451895	1.5273507143814
