Gene	Class	Counts	Freq
KRAS	Hydrolysis	4893	0.75532571781414
KRAS	Exchange	1000	0.154368632293918
KRAS	Hybrid	435	0.0671503550478543
KRAS	Unclassified	150	0.0231552948440877
BRAF	Class 1	1570	0.578908554572271
BRAF	Class 2	219	0.0807522123893805
BRAF	Class 3	251	0.0925516224188791
BRAF	Unclassified	672	0.247787610619469
EGFR	Classical_like	1371	0.454123882080159
EGFR	Ex20ins_L	50	0.0165617754223253
EGFR	PACC	168	0.0556475654190129
EGFR	T790M_like_3R	3	0.000993706525339516
EGFR	T790M_like_3S	112	0.0370983769460086
EGFR	Unclassified	1315	0.435574693607155
